"SOC Code","Name","Url","Calculated Risk %","Voted Risk %","Votes","Is Group","Group SOC Codes"
"25-1067.00","Sociology Teachers, Postsecondary","https://willrobotstakemyjob.com/sociology-teachers-postsecondary","22.9","26.6","16","false",""
"15-1253.00","Software Quality Assurance Analysts and Testers","https://willrobotstakemyjob.com/software-quality-assurance-analysts-and-testers","58.5","54.4","478","false",""
"19-1013.00","Soil and Plant Scientists","https://willrobotstakemyjob.com/soil-and-plant-scientists","2.8","22.1","78","false",""
"47-1011.03","Solar Energy Installation Managers","https://willrobotstakemyjob.com/solar-energy-installation-managers","15.4","37.5","8","false",""
"17-2199.11","Solar Energy Systems Engineers","https://willrobotstakemyjob.com/solar-energy-systems-engineers","19.9","42.3","13","false",""
"47-2231.00","Solar Photovoltaic Installers","https://willrobotstakemyjob.com/solar-photovoltaic-installers","41.4","39.3","14","false",""
"41-4011.07","Solar Sales Representatives and Assessors","https://willrobotstakemyjob.com/solar-sales-representatives-and-assessors","37.2","28.6","7","false",""
"47-2152.04","Solar Thermal Installers and Technicians","https://willrobotstakemyjob.com/solar-thermal-installers-and-technicians","25.5","31.3","4","false",""
"27-4014.00","Sound Engineering Technicians","https://willrobotstakemyjob.com/sound-engineering-technicians","55.2","33.1","185","false",""
"11-9179.02","Spa Managers","https://willrobotstakemyjob.com/spa-managers","35.3","45.8","12","false",""
"25-2056.00","Special Education Teachers, Elementary School","https://willrobotstakemyjob.com/special-education-teachers-elementary-school","5.8","16.9","37","false",""
"25-2055.00","Special Education Teachers, Kindergarten","https://willrobotstakemyjob.com/special-education-teachers-kindergarten","5.8","20.0","25","false",""
"25-2057.00","Special Education Teachers, Middle School","https://willrobotstakemyjob.com/special-education-teachers-middle-school","15.4","25.0","18","false",""
"25-2051.00","Special Education Teachers, Preschool","https://willrobotstakemyjob.com/special-education-teachers-preschool","11.0","18.0","32","false",""
"25-2058.00","Special Education Teachers, Secondary School","https://willrobotstakemyjob.com/special-education-teachers-secondary-school","3.1","25.0","33","false",""
"27-1014.00","Special Effects Artists and Animators","https://willrobotstakemyjob.com/special-effects-artists-and-animators","69.6","62.5","1,421","false",""
"29-1127.00","Speech-Language Pathologists","https://willrobotstakemyjob.com/speech-language-pathologists","8.7","21.0","268","false",""
"31-9099.01","Speech-Language Pathology Assistants","https://willrobotstakemyjob.com/speech-language-pathology-assistants","38.3","43.2","11","false",""
"29-1229.06","Sports Medicine Physicians","https://willrobotstakemyjob.com/sports-medicine-physicians","0.0","16.7","45","false",""
"51-8021.00","Stationary Engineers and Boiler Operators","https://willrobotstakemyjob.com/stationary-engineers-and-boiler-operators","43.9","55.5","50","false",""
"43-9111.00","Statistical Assistants","https://willrobotstakemyjob.com/statistical-assistants","74.4","75.0","21","false",""
"15-2041.00","Statisticians","https://willrobotstakemyjob.com/statisticians","51.7","44.2","533","false",""
"53-7065.00","Stockers and Order Fillers","https://willrobotstakemyjob.com/stockers-and-order-fillers","77.1","72.5","108","false",""
"51-9195.03","Stone Cutters and Carvers, Manufacturing","https://willrobotstakemyjob.com/stone-cutters-and-carvers-manufacturing","61.5","62.5","2","false",""
"47-2022.00","Stonemasons","https://willrobotstakemyjob.com/stonemasons","25.0","49.5","51","false",""
"47-2221.00","Structural Iron and Steel Workers","https://willrobotstakemyjob.com/structural-iron-and-steel-workers","27.5","32.6","59","false",""
"51-2041.00","Structural Metal Fabricators and Fitters","https://willrobotstakemyjob.com/structural-metal-fabricators-and-fitters","81.9","40.9","33","false",""
"21-1011.00","Substance Abuse and Behavioral Disorder Counselors","https://willrobotstakemyjob.com/substance-abuse-and-behavioral-disorder-counselors","3.9","20.1","56","false",""
"53-4041.00","Subway and Streetcar Operators","https://willrobotstakemyjob.com/subway-and-streetcar-operators","80.7","73.8","60","false",""
"11-3071.04","Supply Chain Managers","https://willrobotstakemyjob.com/supply-chain-managers","36.7","41.9","129","false",""
"29-1249.00","Surgeons, All Other","https://willrobotstakemyjob.com/surgeons-all-other","0.0","16.4","711","false",""
"29-9093.00","Surgical Assistants","https://willrobotstakemyjob.com/surgical-assistants","19.3","33.3","15","false",""
"29-2055.00","Surgical Technologists","https://willrobotstakemyjob.com/surgical-technologists","40.1","46.1","140","false",""
"19-3022.00","Survey Researchers","https://willrobotstakemyjob.com/survey-researchers","51.1","50.0","34","false",""
"17-3031.00","Surveying and Mapping Technicians","https://willrobotstakemyjob.com/surveying-and-mapping-technicians","68.0","61.7","60","false",""
"17-1022.00","Surveyors","https://willrobotstakemyjob.com/surveyors","30.3","40.9","203","false",""
"13-1199.05","Sustainability Specialists","https://willrobotstakemyjob.com/sustainability-specialists","23.6","33.9","42","false",""
"43-2011.00","Switchboard Operators, Including Answering Service","https://willrobotstakemyjob.com/switchboard-operators-including-answering-service","100.0","85.0","25","false",""
"51-6052.00","Tailors, Dressmakers, and Custom Sewers","https://willrobotstakemyjob.com/tailors-dressmakers-and-custom-sewers","84.9","49.8","130","false",""
"27-2012.04","Talent Directors","https://willrobotstakemyjob.com/talent-directors","41.1","27.8","9","false",""
"53-7121.00","Tank Car, Truck, and Ship Loaders","https://willrobotstakemyjob.com/tank-car-truck-and-ship-loaders","76.8","79.2","42","false",""
"47-2082.00","Tapers","https://willrobotstakemyjob.com/tapers","63.2","31.3","16","false",""
"13-2081.00","Tax Examiners and Collectors, and Revenue Agents","https://willrobotstakemyjob.com/tax-examiners-and-collectors-and-revenue-agents","80.5","60.2","61","false",""
"13-2082.00","Tax Preparers","https://willrobotstakemyjob.com/tax-preparers","99.1","74.1","133","false",""
"53-3054.00","Taxi Drivers","https://willrobotstakemyjob.com/taxi-drivers","79.2","84.8","409","false",""
"25-9049.00","Teaching Assistants, All Other","https://willrobotstakemyjob.com/teaching-assistants-all-other","56.2","51.5","17","false",""
"25-9044.00","Teaching Assistants, Postsecondary","https://willrobotstakemyjob.com/teaching-assistants-postsecondary","50.9","54.2","12","false",""
"25-9042.00","Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education","https://willrobotstakemyjob.com/teaching-assistants-preschool-elementary-middle-and-secondary-school-except-special-education","56.2","42.5","174","false",""
"25-9043.00","Teaching Assistants, Special Education","https://willrobotstakemyjob.com/teaching-assistants-special-education","56.2","32.1","39","false",""
"51-2092.00","Team Assemblers","https://willrobotstakemyjob.com/team-assemblers","88.8","89.1","85","false",""
"27-3042.00","Technical Writers","https://willrobotstakemyjob.com/technical-writers","93.6","57.2","363","false",""
"15-1241.01","Telecommunications Engineering Specialists","https://willrobotstakemyjob.com/telecommunications-engineering-specialists","33.0","41.1","45","false",""
"49-2022.00","Telecommunications Equipment Installers and Repairers, Except Line Installers","https://willrobotstakemyjob.com/telecommunications-equipment-installers-and-repairers-except-line-installers","45.5","36.1","52","false",""
"49-9052.00","Telecommunications Line Installers and Repairers","https://willrobotstakemyjob.com/telecommunications-line-installers-and-repairers","49.2","35.8","67","false",""
"41-9041.00","Telemarketers","https://willrobotstakemyjob.com/telemarketers","97.5","91.0","399","false",""
"43-2021.00","Telephone Operators","https://willrobotstakemyjob.com/telephone-operators","100.0","86.1","137","false",""
"43-3071.00","Tellers","https://willrobotstakemyjob.com/tellers","87.4","87.9","173","false",""
"47-2053.00","Terrazzo Workers and Finishers","https://willrobotstakemyjob.com/terrazzo-workers-and-finishers","52.1","68.8","8","false",""
"51-6061.00","Textile Bleaching and Dyeing Machine Operators and Tenders","https://willrobotstakemyjob.com/textile-bleaching-and-dyeing-machine-operators-and-tenders","100.0","84.2","49","false",""
"51-6062.00","Textile Cutting Machine Setters, Operators, and Tenders","https://willrobotstakemyjob.com/textile-cutting-machine-setters-operators-and-tenders","100.0","64.5","19","false",""
"51-6063.00","Textile Knitting and Weaving Machine Setters, Operators, and Tenders","https://willrobotstakemyjob.com/textile-knitting-and-weaving-machine-setters-operators-and-tenders","100.0","68.4","19","false",""
"51-6064.00","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","https://willrobotstakemyjob.com/textile-winding-twisting-and-drawing-out-machine-setters-operators-and-tenders","100.0","65.6","16","false",""
"47-2044.00","Tile and Stone Setters","https://willrobotstakemyjob.com/tile-and-stone-setters","45.3","27.2","34","false",""
"51-2061.00","Timing Device Assemblers and Adjusters","https://willrobotstakemyjob.com/timing-device-assemblers-and-adjusters","100.0","80.6","9","false",""
"51-9197.00","Tire Builders","https://willrobotstakemyjob.com/tire-builders","100.0","77.9","34","false",""
